date_purchased,gender,total_purchases
2000-03-04,female,2
2000-03-04,male,6
2000-03-05,female,76
2000-03-05,male,91
2000-03-06,female,31
2000-03-06,male,16
2000-03-07,female,34
2000-03-07,male,31
2000-03-08,female,130
2000-03-08,male,125
2000-03-09,female,49
2000-03-09,male,61
2000-03-10,female,150
2000-03-10,male,133
2000-03-11,female,13
2000-03-11,male,10
2000-03-12,female,252
2000-03-12,male,219
2000-03-13,female,129
2000-03-13,male,139
2000-03-14,female,127
2000-03-14,male,138
2000-03-15,female,192
2000-03-15,male,209
2000-03-16,female,79
2000-03-16,male,92
2000-03-17,female,374
2000-03-17,male,424
2000-03-18,female,79
2000-03-18,male,107
2000-03-19,female,21
2000-03-19,male,17
2000-03-20,female,28
2000-03-20,male,19
2000-03-21,female,26
2000-03-21,male,43
2000-03-22,male,7
2000-03-23,female,19
2000-03-23,male,16
2000-03-24,female,253
2000-03-24,male,230
2000-03-25,female,102
2000-03-25,male,120
2000-03-26,female,7
2000-03-26,male,6
2000-03-27,female,45
2000-03-27,male,44
2000-03-28,female,38
2000-03-28,male,56
2000-03-29,female,9
2000-03-29,male,13
2000-03-30,female,47
2000-03-30,male,32
2000-03-31,female,56
2000-03-31,male,70
2000-04-01,female,55
2000-04-01,male,40
2000-04-02,female,34
2000-04-02,male,23
2000-04-03,female,13
2000-04-03,male,26
2000-04-04,female,9
2000-04-04,male,9
2000-04-05,female,421
2000-04-05,male,421
2000-04-06,female,34
2000-04-06,male,41
2000-04-07,female,46
2000-04-07,male,53
2000-04-08,female,47
2000-04-08,male,36
2000-04-09,female,27
2000-04-09,male,35
2000-04-10,female,55
2000-04-10,male,53
2000-04-11,female,95
2000-04-11,male,93
2000-04-12,female,46
2000-04-12,male,36
2000-04-13,female,28
2000-04-13,male,25
2000-04-14,female,107
2000-04-14,male,109
2000-04-15,female,170
2000-04-15,male,157
2000-04-16,female,93
2000-04-16,male,67
2000-04-17,female,266
2000-04-17,male,293
2000-04-18,female,181
2000-04-18,male,186
2000-04-19,female,162
2000-04-19,male,157
2000-04-20,female,68
2000-04-20,male,47
2000-04-21,female,182
2000-04-21,male,227
2000-04-22,female,67
2000-04-22,male,71
2000-04-23,female,41
2000-04-23,male,34
2000-04-24,female,22
2000-04-24,male,18
2000-04-25,female,140
2000-04-25,male,154
2000-04-26,female,161
2000-04-26,male,177
2000-04-27,female,53
2000-04-27,male,48
2000-04-28,female,188
2000-04-28,male,203
2000-04-29,female,80
2000-04-29,male,93
2000-04-30,female,20
2000-04-30,male,37
2000-05-01,female,156
2000-05-01,male,171
2000-05-02,female,86
2000-05-02,male,112
2000-05-03,female,214
2000-05-03,male,206
2000-05-04,female,37
2000-05-04,male,36
2000-05-05,female,366
2000-05-05,male,351
2000-05-06,female,126
2000-05-06,male,111
2000-05-07,female,196
2000-05-07,male,236
2000-05-08,female,166
2000-05-08,male,160
2000-05-09,female,18
2000-05-09,male,36
2000-05-10,female,2
2000-05-10,male,1
2000-05-11,female,82
2000-05-11,male,64
2000-05-12,female,16
2000-05-12,male,10
2000-05-13,female,102
2000-05-13,male,100
2000-05-14,female,9
2000-05-14,male,14
2000-05-15,female,133
2000-05-15,male,105
2000-05-16,female,98
2000-05-16,male,86
2000-05-17,female,47
2000-05-17,male,40
2000-05-18,female,53
2000-05-18,male,84
2000-05-19,female,91
2000-05-19,male,102
2000-05-20,female,55
2000-05-20,male,35
2000-05-21,female,44
2000-05-21,male,48
2000-05-22,female,29
2000-05-22,male,32
2000-05-23,female,54
2000-05-23,male,42
2000-05-24,female,47
2000-05-24,male,44
2000-05-25,female,33
2000-05-25,male,35
2000-05-26,female,10
2000-05-26,male,8
2000-05-27,female,119
2000-05-27,male,111
2000-05-28,female,3
2000-05-28,male,2
2000-05-29,female,155
2000-05-29,male,150
2000-05-30,female,109
2000-05-30,male,95
2000-05-31,female,5
2000-05-31,male,6
2000-06-01,female,23
2000-06-01,male,23
2000-06-02,female,76
2000-06-02,male,84
2000-06-03,female,2
2000-06-03,male,5
2000-06-04,female,58
2000-06-04,male,56
2000-06-05,female,382
2000-06-05,male,362
2000-06-06,female,124
2000-06-06,male,129
2000-06-07,female,14
2000-06-07,male,8
2000-06-08,female,6
2000-06-08,male,9
2000-06-09,female,3
2000-06-09,male,7
2000-06-10,female,196
2000-06-10,male,216
2000-06-11,female,36
2000-06-11,male,38
2000-06-12,female,84
2000-06-12,male,81
2000-06-13,female,13
2000-06-13,male,13
2000-06-14,female,62
2000-06-14,male,64
2000-06-15,female,20
2000-06-15,male,21
2000-06-16,female,201
2000-06-16,male,218
2000-06-17,female,125
2000-06-17,male,135
2000-06-18,female,9
2000-06-18,male,5
2000-06-19,female,70
2000-06-19,male,77
2000-06-20,female,28
2000-06-20,male,29
2000-06-21,female,125
2000-06-21,male,122
2000-06-22,female,17
2000-06-22,male,24
2000-06-23,female,22
2000-06-23,male,22
2000-06-24,female,46
2000-06-24,male,63
2000-06-25,female,137
2000-06-25,male,138
2000-06-26,female,45
2000-06-26,male,45
2000-06-27,female,12
2000-06-27,male,17
2000-06-28,female,115
2000-06-28,male,107
2000-06-29,female,41
2000-06-29,male,34
2000-06-30,female,50
2000-06-30,male,62
2000-07-01,female,9
2000-07-01,male,6
2000-07-02,female,61
2000-07-02,male,77
2000-07-03,female,391
2000-07-03,male,443
2000-07-04,female,133
2000-07-04,male,169
2000-07-05,female,92
2000-07-05,male,84
2000-07-06,female,180
2000-07-06,male,199
2000-07-07,female,196
2000-07-07,male,227
2000-07-08,female,4
2000-07-08,male,5
2000-07-09,female,29
2000-07-09,male,33
2000-07-10,female,79
2000-07-10,male,74
2000-07-11,female,26
2000-07-11,male,37
2000-07-12,female,451
2000-07-12,male,428
2000-07-13,female,17
2000-07-13,male,15
2000-07-14,female,17
2000-07-14,male,20
2000-07-15,female,623
2000-07-15,male,714
2000-07-16,female,2
2000-07-16,male,6
2000-07-17,female,18
2000-07-17,male,19
2000-07-18,female,94
2000-07-18,male,90
2000-07-19,female,27
2000-07-19,male,30
2000-07-20,female,58
2000-07-20,male,45
2000-07-21,female,79
2000-07-21,male,88
2000-07-22,female,99
2000-07-22,male,116
2000-07-23,female,380
2000-07-23,male,408
2000-07-24,female,20
2000-07-24,male,26
2000-07-25,female,17
2000-07-25,male,17
2000-07-26,female,84
2000-07-26,male,87
2000-07-27,female,3
2000-07-27,male,6
2000-07-28,female,41
2000-07-28,male,43
2000-07-29,female,43
2000-07-29,male,64
2000-07-30,female,64
2000-07-30,male,50
2000-07-31,female,208
2000-07-31,male,211
2000-08-01,female,8
2000-08-01,male,11
2000-08-02,female,54
2000-08-02,male,69
2000-08-03,female,170
2000-08-03,male,174
2000-08-04,female,30
2000-08-04,male,42
2000-08-05,female,13
2000-08-05,male,10
2000-08-06,female,68
2000-08-06,male,74
2000-08-07,female,6
2000-08-07,male,4
2000-08-08,female,119
2000-08-08,male,121
2000-08-09,female,142
2000-08-09,male,157
2000-08-10,female,48
2000-08-10,male,48
2000-08-11,female,259
2000-08-11,male,278
2000-08-12,female,59
2000-08-12,male,89
2000-08-13,female,29
2000-08-13,male,40
2000-08-14,female,144
2000-08-14,male,151
2000-08-15,female,84
2000-08-15,male,108
2000-08-16,female,139
2000-08-16,male,145
2000-08-17,female,1
2000-08-17,male,1
2000-08-18,female,6
2000-08-18,male,5
2000-08-19,female,149
2000-08-19,male,126
2000-08-20,female,234
2000-08-20,male,226
2000-08-21,female,335
2000-08-21,male,336
2000-08-22,female,69
2000-08-22,male,83
2000-08-23,female,39
2000-08-23,male,38
2000-08-24,female,15
2000-08-24,male,18
2000-08-25,female,183
2000-08-25,male,207
2000-08-26,female,186
2000-08-26,male,169
2000-08-27,female,136
2000-08-27,male,173
2000-08-28,female,36
2000-08-28,male,36
2000-08-29,female,52
2000-08-29,male,62
2000-08-30,female,55
2000-08-30,male,68
2000-08-31,female,17
2000-08-31,male,30
2000-09-01,female,73
2000-09-01,male,74
2000-09-02,female,21
2000-09-02,male,27
2000-09-03,female,29
2000-09-03,male,22
2000-09-04,female,2
2000-09-04,male,1
2000-09-05,female,15
2000-09-05,male,25
2000-09-06,female,284
2000-09-06,male,294
2000-09-07,female,28
2000-09-07,male,24
2000-09-08,female,160
2000-09-08,male,167
2000-09-09,female,245
2000-09-09,male,236
2000-09-10,female,68
2000-09-10,male,62
2000-09-11,female,169
2000-09-11,male,176
2000-09-12,female,75
2000-09-12,male,76
2000-09-13,female,46
2000-09-13,male,49
2000-09-14,female,24
2000-09-14,male,26
2000-09-15,female,27
2000-09-15,male,26
2000-09-16,female,15
2000-09-16,male,12
2000-09-17,female,58
2000-09-17,male,63
2000-09-18,female,48
2000-09-18,male,38
2000-09-19,female,16
2000-09-19,male,24
2000-09-20,female,84
2000-09-20,male,104
2000-09-21,female,50
2000-09-21,male,50
2000-09-22,female,3
2000-09-22,male,4
2000-09-23,female,1
2000-09-23,male,5
2000-09-24,female,103
2000-09-24,male,115
2000-09-25,female,16
2000-09-25,male,17
2000-09-26,female,37
2000-09-26,male,27
2000-09-27,female,15
2000-09-27,male,14
2000-09-28,female,44
2000-09-28,male,56
2000-09-29,female,29
2000-09-29,male,35
2000-09-30,female,131
2000-09-30,male,142
2000-10-01,female,245
2000-10-01,male,256
2000-10-02,female,48
2000-10-02,male,54
2000-10-03,female,7
2000-10-03,male,9
2000-10-04,female,93
2000-10-04,male,121
2000-10-05,female,123
2000-10-05,male,110
2000-10-06,female,18
2000-10-06,male,12
2000-10-07,female,477
2000-10-07,male,439
2000-10-08,female,18
2000-10-08,male,22
2000-10-09,female,129
2000-10-09,male,114
2000-10-10,female,67
2000-10-10,male,80
2000-10-11,female,192
2000-10-11,male,176
2000-10-12,female,68
2000-10-12,male,56
2000-10-13,female,64
2000-10-13,male,66
2000-10-14,female,27
2000-10-14,male,29
2000-10-15,female,148
2000-10-15,male,160
2000-10-16,female,141
2000-10-16,male,164
2000-10-17,female,10
2000-10-17,male,7
2000-10-18,female,30
2000-10-18,male,33
2000-10-19,female,152
2000-10-19,male,189
2000-10-20,female,90
2000-10-20,male,76
2000-10-21,female,62
2000-10-21,male,92
2000-10-22,female,72
2000-10-22,male,72
2000-10-23,female,1
2000-10-23,male,2
2000-10-24,female,76
2000-10-24,male,92
2000-10-25,female,81
2000-10-25,male,82
2000-10-26,female,135
2000-10-26,male,137
2000-10-27,female,43
2000-10-27,male,38
2000-10-28,female,4
2000-10-28,male,2
2000-10-29,female,76
2000-10-29,male,80
2000-10-30,female,232
2000-10-30,male,245
2000-10-31,female,25
2000-10-31,male,31
2000-11-01,female,30
2000-11-01,male,26
2000-11-02,female,3
2000-11-02,male,3
2000-11-03,female,122
2000-11-03,male,111
2000-11-04,female,91
2000-11-04,male,77
2000-11-05,female,104
2000-11-05,male,100
2000-11-06,female,24
2000-11-06,male,27
2000-11-07,female,198
2000-11-07,male,205
2000-11-08,female,12
2000-11-08,male,16
2000-11-09,female,45
2000-11-09,male,57
2000-11-10,female,2
2000-11-10,male,1
2000-11-11,female,126
2000-11-11,male,127
2000-11-12,female,6
2000-11-12,male,3
2000-11-13,female,29
2000-11-13,male,39
2000-11-14,female,15
2000-11-14,male,11
2000-11-15,female,54
2000-11-15,male,46
2000-11-16,female,60
2000-11-16,male,57
2000-11-17,female,114
2000-11-17,male,142
2000-11-18,female,120
2000-11-18,male,151
2000-11-19,female,131
2000-11-19,male,158
2000-11-20,male,2
2000-11-21,female,171
2000-11-21,male,172
2000-11-22,female,148
2000-11-22,male,139
2000-11-23,female,56
2000-11-23,male,51
2000-11-24,female,158
2000-11-24,male,206
2000-11-25,female,117
2000-11-25,male,138
2000-11-26,female,129
2000-11-26,male,152
2000-11-27,female,36
2000-11-27,male,48
2000-11-28,female,49
2000-11-28,male,40
2000-11-29,female,18
2000-11-29,male,7
2000-11-30,female,7
2000-11-30,male,11
2000-12-01,female,28
2000-12-01,male,25
2000-12-02,female,117
2000-12-02,male,113
2000-12-03,female,77
2000-12-03,male,60
2000-12-04,female,3
2000-12-05,female,100
2000-12-05,male,139
2000-12-06,female,96
2000-12-06,male,102
2000-12-07,female,102
2000-12-07,male,115
2000-12-08,female,320
2000-12-08,male,305
2000-12-09,female,214
2000-12-09,male,236
2000-12-10,female,71
2000-12-10,male,92
2000-12-11,female,14
2000-12-11,male,13
2000-12-12,female,117
2000-12-12,male,120
2000-12-13,female,13
2000-12-13,male,7
2000-12-14,female,86
2000-12-14,male,83
2000-12-15,female,71
2000-12-15,male,59
2000-12-16,female,147
2000-12-16,male,159
2000-12-17,female,20
2000-12-17,male,25
2000-12-18,female,205
2000-12-18,male,212
2000-12-19,female,12
2000-12-19,male,11
2000-12-20,male,5
2000-12-21,female,68
2000-12-21,male,66
2000-12-22,female,71
2000-12-22,male,49
2000-12-23,female,58
2000-12-23,male,62
2000-12-24,female,137
2000-12-24,male,141
2000-12-25,female,81
2000-12-25,male,98
2000-12-26,female,81
2000-12-26,male,70
2000-12-27,female,23
2000-12-27,male,20
2000-12-28,female,52
2000-12-28,male,43
2000-12-29,female,71
2000-12-29,male,47
2000-12-30,female,124
2000-12-30,male,133
2000-12-31,female,334
2000-12-31,male,300
2001-01-01,female,48
2001-01-01,male,56
2001-01-02,female,108
2001-01-02,male,101
2001-01-03,female,84
2001-01-03,male,73
2001-01-04,female,41
2001-01-04,male,33
2001-01-05,female,76
2001-01-05,male,77
2001-01-06,female,2
2001-01-06,male,8
2001-01-07,female,18
2001-01-07,male,13
2001-01-08,female,57
2001-01-08,male,46
2001-01-09,female,7
2001-01-09,male,14
2001-01-10,female,203
2001-01-10,male,200
2001-01-11,female,137
2001-01-11,male,180
2001-01-12,female,187
2001-01-12,male,190
2001-01-13,female,19
2001-01-13,male,6
2001-01-14,female,108
2001-01-14,male,124
2001-01-15,female,38
2001-01-15,male,31
2001-01-16,female,4
2001-01-16,male,2
2001-01-17,female,93
2001-01-17,male,101
2001-01-18,female,1
2001-01-18,male,2
2001-01-19,female,264
2001-01-19,male,280
2001-01-20,female,11
2001-01-20,male,15
2001-01-21,female,159
2001-01-21,male,166
2001-01-22,female,63
2001-01-22,male,79
2001-01-23,female,94
2001-01-23,male,134
2001-01-24,female,63
2001-01-24,male,70
2001-01-25,female,280
2001-01-25,male,294
2001-01-26,female,20
2001-01-26,male,32
2001-01-27,female,221
2001-01-27,male,234
2001-01-28,female,85
2001-01-28,male,88
2001-01-29,female,75
2001-01-29,male,85
2001-01-30,female,57
2001-01-30,male,69
2001-01-31,female,32
2001-01-31,male,21
2001-02-01,female,171
2001-02-01,male,220
2001-02-02,female,85
2001-02-02,male,86
2001-02-03,female,31
2001-02-03,male,50
2001-02-04,female,134
2001-02-04,male,129
2001-02-05,female,64
2001-02-05,male,66
2001-02-06,female,159
2001-02-06,male,161
2001-02-07,female,30
2001-02-07,male,20
2001-02-08,female,50
2001-02-08,male,55
2001-02-09,female,161
2001-02-09,male,214
2001-02-10,female,141
2001-02-10,male,192
2001-02-11,female,162
2001-02-11,male,129
2001-02-12,female,45
2001-02-12,male,52
2001-02-13,female,54
2001-02-13,male,77
2001-02-14,female,6
2001-02-14,male,5
2001-02-15,female,124
2001-02-15,male,127
2001-02-16,female,19
2001-02-16,male,20
2001-02-17,female,194
2001-02-17,male,188
2001-02-18,female,8
2001-02-18,male,18
2001-02-19,female,65
2001-02-19,male,58
2001-02-20,female,5
2001-02-20,male,7
2001-02-21,female,73
2001-02-21,male,74
2001-02-22,female,52
2001-02-22,male,59
2001-02-23,female,18
2001-02-23,male,15
2001-02-24,female,10
2001-02-24,male,14
2001-02-25,female,52
2001-02-25,male,59
2001-02-26,female,2
2001-02-26,male,1
2001-02-27,female,130
2001-02-27,male,134
2001-02-28,female,98
2001-02-28,male,100
2001-03-01,female,6
2001-03-01,male,4
2001-03-02,female,56
2001-03-02,male,80
2001-03-03,female,69
2001-03-03,male,66
2001-03-04,female,32
2001-03-04,male,36
2001-03-05,female,151
2001-03-05,male,124
2001-03-06,female,71
2001-03-06,male,67
2001-03-07,female,114
2001-03-07,male,132
2001-03-08,female,227
2001-03-08,male,244
2001-03-09,female,215
2001-03-09,male,235
2001-03-10,female,50
2001-03-10,male,58
2001-03-11,female,35
2001-03-11,male,37
2001-03-12,female,55
2001-03-12,male,37
2001-03-13,female,453
2001-03-13,male,477
2001-03-14,female,27
2001-03-14,male,35
2001-03-15,female,95
2001-03-15,male,100
2001-03-16,female,7
2001-03-16,male,4
2001-03-17,female,173
2001-03-17,male,183
2001-03-18,female,19
2001-03-18,male,28
2001-03-19,female,291
2001-03-19,male,303
2001-03-20,female,35
2001-03-20,male,25
2001-03-21,female,11
2001-03-21,male,12
2001-03-22,female,116
2001-03-22,male,100
2001-03-23,female,219
2001-03-23,male,235
2001-03-24,female,131
2001-03-24,male,162
2001-03-25,female,35
2001-03-25,male,40
2001-03-26,female,132
2001-03-26,male,110
2001-03-27,female,33
2001-03-27,male,41
2001-03-28,female,62
2001-03-28,male,76
2001-03-29,female,2
2001-03-29,male,7
2001-03-30,female,17
2001-03-30,male,31
2001-03-31,female,22
2001-03-31,male,13
2001-04-01,female,4
2001-04-01,male,3
2001-04-02,female,69
2001-04-02,male,77
2001-04-03,female,154
2001-04-03,male,145
2001-04-04,female,92
2001-04-04,male,88
2001-04-05,female,43
2001-04-05,male,38
2001-04-06,female,109
2001-04-06,male,101
2001-04-07,female,64
2001-04-07,male,63
2001-04-08,female,53
2001-04-08,male,38
2001-04-09,female,68
2001-04-09,male,69
2001-04-10,female,9
2001-04-10,male,17
2001-04-11,female,13
2001-04-11,male,6
2001-04-12,female,1
2001-04-12,male,1
2001-04-13,female,314
2001-04-13,male,337
2001-04-14,female,186
2001-04-14,male,169
2001-04-15,female,209
2001-04-15,male,193
2001-04-16,female,115
2001-04-16,male,135
2001-04-17,female,95
2001-04-17,male,97
2001-04-18,female,8
2001-04-18,male,16
2001-04-19,female,87
2001-04-19,male,108
2001-04-20,female,10
2001-04-20,male,3
2001-04-21,female,63
2001-04-21,male,58
2001-04-22,female,85
2001-04-22,male,104
2001-04-23,female,228
2001-04-23,male,222
2001-04-24,female,98
2001-04-24,male,93
2001-04-25,female,15
2001-04-25,male,14
2001-04-26,female,15
2001-04-26,male,25
2001-04-27,female,50
2001-04-27,male,38
2001-04-28,female,57
2001-04-28,male,70
2001-04-29,female,68
2001-04-29,male,54
2001-04-30,female,106
2001-04-30,male,109
2001-05-01,female,42
2001-05-01,male,42
2001-05-02,male,1
2001-05-03,female,194
2001-05-03,male,191
2001-05-04,female,100
2001-05-04,male,84
2001-05-05,female,132
2001-05-05,male,159
2001-05-06,female,8
2001-05-06,male,6
2001-05-07,female,29
2001-05-07,male,32
2001-05-08,female,40
2001-05-08,male,53
2001-05-09,female,38
2001-05-09,male,59
2001-05-10,female,54
2001-05-10,male,59
2001-05-11,female,35
2001-05-11,male,45
2001-05-12,female,168
2001-05-12,male,138
2001-05-13,female,55
2001-05-13,male,61
2001-05-14,female,4
2001-05-14,male,11
2001-05-15,female,32
2001-05-15,male,32
2001-05-16,female,74
2001-05-16,male,89
2001-05-17,female,269
2001-05-17,male,243
2001-05-18,female,229
2001-05-18,male,238
2001-05-19,female,109
2001-05-19,male,119
2001-05-20,female,204
2001-05-20,male,245
2001-05-21,female,116
2001-05-21,male,126
2001-05-22,female,40
2001-05-22,male,38
2001-05-23,female,104
2001-05-23,male,96
2001-05-24,female,68
2001-05-24,male,67
2001-05-25,female,37
2001-05-25,male,58
2001-05-26,female,20
2001-05-26,male,19
2001-05-27,female,17
2001-05-27,male,38
2001-05-28,female,118
2001-05-28,male,117
2001-05-29,female,22
2001-05-29,male,32
2001-05-30,female,238
2001-05-30,male,262
2001-05-31,female,339
2001-05-31,male,382
2001-06-01,female,186
2001-06-01,male,235
2001-06-02,female,1
2001-06-02,male,1
2001-06-03,female,92
2001-06-03,male,91
2001-06-04,female,32
2001-06-04,male,39
2001-06-05,female,169
2001-06-05,male,180
2001-06-06,female,66
2001-06-06,male,64
2001-06-07,female,174
2001-06-07,male,190
2001-06-08,female,202
2001-06-08,male,224
2001-06-09,female,15
2001-06-09,male,16
2001-06-10,female,175
2001-06-10,male,166
2001-06-11,female,35
2001-06-11,male,33
2001-06-12,female,137
2001-06-12,male,144
2001-06-13,female,22
2001-06-13,male,26
2001-06-14,female,251
2001-06-14,male,230
2001-06-15,female,77
2001-06-15,male,85
2001-06-16,female,13
2001-06-16,male,14
2001-06-17,female,156
2001-06-17,male,158
2001-06-18,female,84
2001-06-18,male,82
2001-06-19,female,57
2001-06-19,male,73
2001-06-20,female,166
2001-06-20,male,212
2001-06-21,female,7
2001-06-21,male,6
2001-06-22,female,119
2001-06-22,male,148
2001-06-23,female,48
2001-06-23,male,42
2001-06-24,female,117
2001-06-24,male,129
2001-06-25,female,78
2001-06-25,male,94
2001-06-26,female,152
2001-06-26,male,155
2001-06-27,female,249
2001-06-27,male,255
2001-06-28,female,332
2001-06-28,male,384
2001-06-29,female,114
2001-06-29,male,121
2001-06-30,female,118
2001-06-30,male,133
2001-07-01,female,215
2001-07-01,male,190
2001-07-02,female,400
2001-07-02,male,412
2001-07-03,female,61
2001-07-03,male,70
2001-07-04,female,111
2001-07-04,male,119
2001-07-05,female,114
2001-07-05,male,83
2001-07-06,female,115
2001-07-06,male,120
2001-07-07,female,236
2001-07-07,male,239
2001-07-08,female,128
2001-07-08,male,135
2001-07-09,female,62
2001-07-09,male,82
2001-07-10,female,1
2001-07-10,male,1
2001-07-11,female,51
2001-07-11,male,63
2001-07-12,female,316
2001-07-12,male,315
2001-07-13,female,94
2001-07-13,male,114
2001-07-14,female,189
2001-07-14,male,213
2001-07-15,female,33
2001-07-15,male,29
2001-07-16,female,191
2001-07-16,male,217
2001-07-17,female,2
2001-07-18,female,8
2001-07-18,male,14
2001-07-19,female,102
2001-07-19,male,114
2001-07-20,female,137
2001-07-20,male,162
2001-07-21,female,150
2001-07-21,male,142
2001-07-22,female,29
2001-07-22,male,28
2001-07-23,female,99
2001-07-23,male,107
2001-07-24,female,105
2001-07-24,male,95
2001-07-25,female,24
2001-07-25,male,29
2001-07-26,male,2
2001-07-27,female,11
2001-07-27,male,13
2001-07-28,female,14
2001-07-28,male,13
2001-07-29,female,27
2001-07-29,male,27
2001-07-30,female,146
2001-07-30,male,160
2001-07-31,female,115
2001-07-31,male,116
2001-08-01,female,386
2001-08-01,male,356
2001-08-02,female,169
2001-08-02,male,206
2001-08-03,female,1
2001-08-03,male,1
2001-08-04,female,83
2001-08-04,male,83
2001-08-05,female,19
2001-08-05,male,20
2001-08-06,female,11
2001-08-06,male,13
2001-08-07,female,8
2001-08-07,male,7
2001-08-08,female,11
2001-08-08,male,6
2001-08-09,female,35
2001-08-09,male,36
2001-08-10,female,578
2001-08-10,male,576
2001-08-11,female,20
2001-08-11,male,13
2001-08-12,female,22
2001-08-12,male,22
2001-08-13,female,102
2001-08-13,male,110
2001-08-14,female,80
2001-08-14,male,106
2001-08-15,female,79
2001-08-15,male,95
2001-08-16,female,33
2001-08-16,male,45
2001-08-17,female,16
2001-08-17,male,13
2001-08-18,female,98
2001-08-18,male,88
2001-08-19,female,70
2001-08-19,male,78
2001-08-20,female,86
2001-08-20,male,82
2001-08-21,female,127
2001-08-21,male,128
2001-08-22,female,35
2001-08-22,male,45
2001-08-23,female,246
2001-08-23,male,285
2001-08-24,female,1
2001-08-24,male,1
2001-08-25,female,204
2001-08-25,male,231
2001-08-26,female,132
2001-08-26,male,154
2001-08-27,female,63
2001-08-27,male,68
2001-08-28,female,282
2001-08-28,male,296
2001-08-29,female,96
2001-08-29,male,100
2001-08-30,female,250
2001-08-30,male,253
2001-08-31,female,10
2001-08-31,male,6
2001-09-01,female,27
2001-09-01,male,26
2001-09-02,female,20
2001-09-02,male,16
2001-09-03,female,34
2001-09-03,male,40
2001-09-04,female,31
2001-09-04,male,23
2001-09-05,female,230
2001-09-05,male,225
2001-09-06,female,14
2001-09-06,male,17
2001-09-07,female,90
2001-09-07,male,71
2001-09-08,female,414
2001-09-08,male,428
2001-09-09,female,279
2001-09-09,male,275
2001-09-10,female,832
2001-09-10,male,953
2001-09-11,female,32
2001-09-11,male,33
2001-09-12,female,88
2001-09-12,male,80
2001-09-13,female,68
2001-09-13,male,71
2001-09-14,female,10
2001-09-14,male,9
2001-09-15,female,89
2001-09-15,male,92
2001-09-16,female,105
2001-09-16,male,119
2001-09-17,female,132
2001-09-17,male,111
2001-09-18,female,94
2001-09-18,male,71
2001-09-19,female,195
2001-09-19,male,244
2001-09-20,female,30
2001-09-20,male,38
2001-09-21,female,83
2001-09-21,male,90
2001-09-22,female,10
2001-09-22,male,9
2001-09-23,female,39
2001-09-23,male,42
2001-09-24,female,2
2001-09-24,male,1
2001-09-25,female,99
2001-09-25,male,108
2001-09-26,female,16
2001-09-26,male,18
2001-09-27,female,20
2001-09-27,male,17
2001-09-28,female,265
2001-09-28,male,287
2001-09-29,female,393
2001-09-29,male,420
2001-09-30,female,41
2001-09-30,male,31
2001-10-01,female,127
